record_type,record_type_display_name,subrecords,subrecord_display_names,field,field_display_name,required
agent_person,Person,agent_functions/notes,Agent Functions/Notes,ingest_problem,Ingest Problem,n
agent_person,Person,agent_functions/notes,Agent Functions/Notes,content,Content,if optional subrecord populated
agent_person,Person,agent_functions/notes,Agent Functions/Notes,xlink,Xlink,n
agent_person,Person,agent_functions/dates,Agent Functions/Dates,date_label,Date Label,if optional subrecord populated
agent_person,Person,agent_functions/dates,Agent Functions/Dates,date_type_structured,Date Type Structured,if optional subrecord populated
agent_person,Person,agent_functions/dates,Agent Functions/Dates,date_certainty,Date Certainty,n
agent_person,Person,agent_functions/dates,Agent Functions/Dates,date_era,Date Era,n
agent_person,Person,agent_functions/dates,Agent Functions/Dates,date_calendar,Date Calendar,n
agent_person,Person,agent_functions/dates/structured_date_single,Agent Functions/Dates/Structured Date Single,date_role,Date Role,if optional subrecord populated
agent_person,Person,agent_functions/dates/structured_date_single,Agent Functions/Dates/Structured Date Single,date_expression,Date Expression,n
agent_person,Person,agent_functions/dates/structured_date_single,Agent Functions/Dates/Structured Date Single,date_standardized,Date Standardized,n
agent_person,Person,agent_functions/dates/structured_date_single,Agent Functions/Dates/Structured Date Single,date_standardized_type,Date Standardized Type,n
agent_person,Person,agent_functions/dates/structured_date_range,Agent Functions/Dates/Structured Date Range,begin_date_expression,Begin Date Expression,n
agent_person,Person,agent_functions/dates/structured_date_range,Agent Functions/Dates/Structured Date Range,begin_date_standardized,Begin Date Standardized,n
agent_person,Person,agent_functions/dates/structured_date_range,Agent Functions/Dates/Structured Date Range,begin_date_standardized_type,Begin Date Standardized Type,n
agent_person,Person,agent_functions/dates/structured_date_range,Agent Functions/Dates/Structured Date Range,end_date_expression,End Date Expression,n
agent_person,Person,agent_functions/dates/structured_date_range,Agent Functions/Dates/Structured Date Range,end_date_standardized,End Date Standardized,n
agent_person,Person,agent_functions/dates/structured_date_range,Agent Functions/Dates/Structured Date Range,end_date_standardized_type,End Date Standardized Type,n
agent_person,Person,agent_topics,Agent Topics,publish,Publish,n
agent_person,Person,agent_topics,Agent Topics,subjects,Subjects,n
agent_person,Person,agent_topics,Agent Topics,places,Places,n
agent_person,Person,agent_topics/dates,Agent Topics/Dates,date_label,Date Label,if optional subrecord populated
agent_person,Person,agent_topics/dates,Agent Topics/Dates,date_type_structured,Date Type Structured,if optional subrecord populated
agent_person,Person,agent_topics/dates,Agent Topics/Dates,date_certainty,Date Certainty,n
agent_person,Person,agent_topics/dates,Agent Topics/Dates,date_era,Date Era,n
agent_person,Person,agent_topics/dates,Agent Topics/Dates,date_calendar,Date Calendar,n
agent_person,Person,agent_topics/dates/structured_date_single,Agent Topics/Dates/Structured Date Single,date_role,Date Role,if optional subrecord populated
agent_person,Person,agent_topics/dates/structured_date_single,Agent Topics/Dates/Structured Date Single,date_expression,Date Expression,n
agent_person,Person,agent_topics/dates/structured_date_single,Agent Topics/Dates/Structured Date Single,date_standardized,Date Standardized,n
agent_person,Person,agent_topics/dates/structured_date_single,Agent Topics/Dates/Structured Date Single,date_standardized_type,Date Standardized Type,n
agent_person,Person,agent_topics/dates/structured_date_range,Agent Topics/Dates/Structured Date Range,begin_date_expression,Begin Date Expression,n
agent_person,Person,agent_topics/dates/structured_date_range,Agent Topics/Dates/Structured Date Range,begin_date_standardized,Begin Date Standardized,n
agent_person,Person,agent_topics/dates/structured_date_range,Agent Topics/Dates/Structured Date Range,begin_date_standardized_type,Begin Date Standardized Type,n
agent_person,Person,agent_topics/dates/structured_date_range,Agent Topics/Dates/Structured Date Range,end_date_expression,End Date Expression,n
agent_person,Person,agent_topics/dates/structured_date_range,Agent Topics/Dates/Structured Date Range,end_date_standardized,End Date Standardized,n
agent_person,Person,agent_topics/dates/structured_date_range,Agent Topics/Dates/Structured Date Range,end_date_standardized_type,End Date Standardized Type,n
agent_person,Person,agent_topics/notes,Agent Topics/Notes,content,Content,if optional subrecord populated
agent_person,Person,agent_topics/notes,Agent Topics/Notes,publish,Publish,n
agent_person,Person,agent_topics/notes,Agent Topics/Notes,label,Label,n
agent_person,Person,agent_topics/notes,Agent Topics/Notes,publish,Publish,n
agent_person,Person,agent_topics/notes,Agent Topics/Notes,persistent_id,Persistent Id,n
agent_person,Person,agent_topics/notes,Agent Topics/Notes,ingest_problem,Ingest Problem,n
agent_person,Person,agent_topics/notes,Agent Topics/Notes,content,Content,if optional subrecord populated
agent_person,Person,agent_topics/notes,Agent Topics/Notes,xlink,Xlink,n
agent_person,Person,agent_resources,Agent Resources,publish,Publish,n
agent_person,Person,agent_resources,Agent Resources,linked_agent_role,Linked Agent Role,if optional subrecord populated
agent_person,Person,agent_resources,Agent Resources,linked_resource,Linked Resource,if optional subrecord populated
agent_person,Person,agent_resources,Agent Resources,linked_resource_description,Linked Resource Description,n
agent_person,Person,agent_resources,Agent Resources,file_uri,File Uri,n
agent_person,Person,agent_resources,Agent Resources,file_version_xlink_actuate_attribute,File Version Xlink Actuate Attribute,n
agent_person,Person,agent_resources,Agent Resources,file_version_xlink_show_attribute,File Version Xlink Show Attribute,n
agent_person,Person,agent_resources,Agent Resources,xlink_title_attribute,Xlink Title Attribute,n
agent_person,Person,agent_resources,Agent Resources,xlink_role_attribute,Xlink Role Attribute,n
agent_person,Person,agent_resources,Agent Resources,xlink_arcrole_attribute,Xlink Arcrole Attribute,n
agent_person,Person,agent_resources,Agent Resources,last_verified_date,Last Verified Date,n
agent_person,Person,agent_resources,Agent Resources,places,Places,n
agent_person,Person,agent_resources/dates,Agent Resources/Dates,date_label,Date Label,if optional subrecord populated
agent_person,Person,agent_resources/dates,Agent Resources/Dates,date_type_structured,Date Type Structured,if optional subrecord populated
agent_person,Person,agent_resources/dates,Agent Resources/Dates,date_certainty,Date Certainty,n
agent_person,Person,agent_resources/dates,Agent Resources/Dates,date_era,Date Era,n
agent_person,Person,agent_resources/dates,Agent Resources/Dates,date_calendar,Date Calendar,n
agent_person,Person,agent_resources/dates/structured_date_single,Agent Resources/Dates/Structured Date Single,date_role,Date Role,if optional subrecord populated
agent_person,Person,agent_resources/dates/structured_date_single,Agent Resources/Dates/Structured Date Single,date_expression,Date Expression,n
agent_person,Person,agent_resources/dates/structured_date_single,Agent Resources/Dates/Structured Date Single,date_standardized,Date Standardized,n
agent_person,Person,agent_resources/dates/structured_date_single,Agent Resources/Dates/Structured Date Single,date_standardized_type,Date Standardized Type,n
agent_person,Person,agent_resources/dates/structured_date_range,Agent Resources/Dates/Structured Date Range,begin_date_expression,Begin Date Expression,n
agent_person,Person,agent_resources/dates/structured_date_range,Agent Resources/Dates/Structured Date Range,begin_date_standardized,Begin Date Standardized,n
agent_person,Person,agent_resources/dates/structured_date_range,Agent Resources/Dates/Structured Date Range,begin_date_standardized_type,Begin Date Standardized Type,n
agent_person,Person,agent_resources/dates/structured_date_range,Agent Resources/Dates/Structured Date Range,end_date_expression,End Date Expression,n
agent_person,Person,agent_resources/dates/structured_date_range,Agent Resources/Dates/Structured Date Range,end_date_standardized,End Date Standardized,n
agent_person,Person,agent_resources/dates/structured_date_range,Agent Resources/Dates/Structured Date Range,end_date_standardized_type,End Date Standardized Type,n
agent_person,Person,external_documents,External Documents,title,Title,if optional subrecord populated
agent_person,Person,external_documents,External Documents,location,Location,if optional subrecord populated
agent_person,Person,external_documents,External Documents,publish,Publish,n
agent_person,Person,notes,Notes,label,Label,n
agent_person,Person,notes,Notes,publish,Publish,n
agent_person,Person,notes,Notes,persistent_id,Persistent Id,n
agent_person,Person,notes,Notes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,label,Label,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,persistent_id,Persistent Id,n
agent_person,Person,notes/subnotes,Notes/Subnotes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,title,Title,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,items,Items,n
agent_person,Person,notes/subnotes,Notes/Subnotes,label,Label,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,persistent_id,Persistent Id,n
agent_person,Person,notes/subnotes,Notes/Subnotes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,xlink,Xlink,n
agent_person,Person,notes/subnotes,Notes/Subnotes,title,Title,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,enumeration,Enumeration,n
agent_person,Person,notes/subnotes,Notes/Subnotes,items,Items,n
agent_person,Person,notes/subnotes,Notes/Subnotes,title,Title,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,items,Items,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes,Notes,label,Label,n
agent_person,Person,notes,Notes,publish,Publish,n
agent_person,Person,notes,Notes,persistent_id,Persistent Id,n
agent_person,Person,notes,Notes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,label,Label,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,persistent_id,Persistent Id,n
agent_person,Person,notes/subnotes,Notes/Subnotes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,xlink,Xlink,n
agent_person,Person,notes,Notes,label,Label,n
agent_person,Person,notes,Notes,publish,Publish,n
agent_person,Person,notes,Notes,persistent_id,Persistent Id,n
agent_person,Person,notes,Notes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,label,Label,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,persistent_id,Persistent Id,n
agent_person,Person,notes/subnotes,Notes/Subnotes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,xlink,Xlink,n
agent_person,Person,notes,Notes,label,Label,n
agent_person,Person,notes,Notes,publish,Publish,n
agent_person,Person,notes,Notes,persistent_id,Persistent Id,n
agent_person,Person,notes,Notes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,title,Title,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,items,Items,n
agent_person,Person,notes/subnotes,Notes/Subnotes,title,Title,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,enumeration,Enumeration,n
agent_person,Person,notes/subnotes,Notes/Subnotes,items,Items,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes,Notes,label,Label,n
agent_person,Person,notes,Notes,publish,Publish,n
agent_person,Person,notes,Notes,persistent_id,Persistent Id,n
agent_person,Person,notes,Notes,ingest_problem,Ingest Problem,n
agent_person,Person,notes/subnotes,Notes/Subnotes,title,Title,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,enumeration,Enumeration,n
agent_person,Person,notes/subnotes,Notes/Subnotes,items,Items,n
agent_person,Person,notes/subnotes,Notes/Subnotes,title,Title,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,items,Items,n
agent_person,Person,notes/subnotes,Notes/Subnotes,content,Content,if optional subrecord populated
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,notes/subnotes,Notes/Subnotes,publish,Publish,n
agent_person,Person,dates_of_existence,Dates of Existence,date_label,Date Label,if optional subrecord populated
agent_person,Person,dates_of_existence,Dates of Existence,date_type_structured,Date Type Structured,if optional subrecord populated
agent_person,Person,dates_of_existence,Dates of Existence,date_certainty,Date Certainty,n
agent_person,Person,dates_of_existence,Dates of Existence,date_era,Date Era,n
agent_person,Person,dates_of_existence,Dates of Existence,date_calendar,Date Calendar,n
agent_person,Person,dates_of_existence/structured_date_single,Dates of Existence/Structured Date Single,date_role,Date Role,if optional subrecord populated
agent_person,Person,dates_of_existence/structured_date_single,Dates of Existence/Structured Date Single,date_expression,Date Expression,n
agent_person,Person,dates_of_existence/structured_date_single,Dates of Existence/Structured Date Single,date_standardized,Date Standardized,n
agent_person,Person,dates_of_existence/structured_date_single,Dates of Existence/Structured Date Single,date_standardized_type,Date Standardized Type,n
agent_person,Person,dates_of_existence/structured_date_range,Dates of Existence/Structured Date Range,begin_date_expression,Begin Date Expression,n
agent_person,Person,dates_of_existence/structured_date_range,Dates of Existence/Structured Date Range,begin_date_standardized,Begin Date Standardized,n
agent_person,Person,dates_of_existence/structured_date_range,Dates of Existence/Structured Date Range,begin_date_standardized_type,Begin Date Standardized Type,n
agent_person,Person,dates_of_existence/structured_date_range,Dates of Existence/Structured Date Range,end_date_expression,End Date Expression,n
agent_person,Person,dates_of_existence/structured_date_range,Dates of Existence/Structured Date Range,end_date_standardized,End Date Standardized,n
agent_person,Person,dates_of_existence/structured_date_range,Dates of Existence/Structured Date Range,end_date_standardized_type,End Date Standardized Type,n
agent_person,Person,used_languages,Used Languages,language,Language,n
agent_person,Person,used_languages,Used Languages,script,Script,n
agent_person,Person,used_languages/notes,Used Languages/Notes,content,Content,if optional subrecord populated
agent_person,Person,used_languages/notes,Used Languages/Notes,publish,Publish,n
agent_person,Person,used_languages/notes,Used Languages/Notes,label,Label,n
agent_person,Person,used_languages/notes,Used Languages/Notes,publish,Publish,n
agent_person,Person,used_languages/notes,Used Languages/Notes,persistent_id,Persistent Id,n
agent_person,Person,used_languages/notes,Used Languages/Notes,ingest_problem,Ingest Problem,n
agent_person,Person,used_languages/notes,Used Languages/Notes,content,Content,if optional subrecord populated
agent_person,Person,used_languages/notes,Used Languages/Notes,xlink,Xlink,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,license,License,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,descriptive_note,Descriptive Note,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,file_uri,File Uri,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,file_version_xlink_actuate_attribute,File Version Xlink Actuate Attribute,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,file_version_xlink_show_attribute,File Version Xlink Show Attribute,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,xlink_title_attribute,Xlink Title Attribute,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,xlink_role_attribute,Xlink Role Attribute,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,xlink_arcrole_attribute,Xlink Arcrole Attribute,n
agent_person,Person,metadata_rights_declarations,Metadata Rights Declarations,last_verified_date,Last Verified Date,n
agent_person,Person,names,Name Forms,authority_id,Authority Id,n
agent_person,Person,names,Name Forms,dates,Dates,n
agent_person,Person,names,Name Forms,qualifier,Qualifier,n
agent_person,Person,names,Name Forms,source,Source,n
agent_person,Person,names,Name Forms,rules,Rules,n
agent_person,Person,names,Name Forms,authorized,Authorized,n
agent_person,Person,names,Name Forms,is_display_name,Is Display Name,n
agent_person,Person,names,Name Forms,language,Language,n
agent_person,Person,names,Name Forms,script,Script,n
agent_person,Person,names,Name Forms,transliteration,Transliteration,n
agent_person,Person,names,Name Forms,sort_name,Sort Name,n
agent_person,Person,names,Name Forms,sort_name_auto_generate,Sort Name Auto Generate,n
agent_person,Person,names,Name Forms,primary_name,Primary Name,y (in required subrecord)
agent_person,Person,names,Name Forms,title,Title,n
agent_person,Person,names,Name Forms,name_order,Name Order,y (in required subrecord)
agent_person,Person,names,Name Forms,prefix,Prefix,n
agent_person,Person,names,Name Forms,rest_of_name,Rest Of Name,n
agent_person,Person,names,Name Forms,suffix,Suffix,n
agent_person,Person,names,Name Forms,fuller_form,Fuller Form,n
agent_person,Person,names,Name Forms,number,Number,n
agent_person,Person,names/use_dates,Name Forms/Use Dates,date_label,Date Label,if optional subrecord populated
agent_person,Person,names/use_dates,Name Forms/Use Dates,date_type_structured,Date Type Structured,if optional subrecord populated
agent_person,Person,names/use_dates,Name Forms/Use Dates,date_certainty,Date Certainty,n
agent_person,Person,names/use_dates,Name Forms/Use Dates,date_era,Date Era,n
agent_person,Person,names/use_dates,Name Forms/Use Dates,date_calendar,Date Calendar,n
agent_person,Person,names/use_dates/structured_date_single,Name Forms/Use Dates/Structured Date Single,date_role,Date Role,if optional subrecord populated
agent_person,Person,names/use_dates/structured_date_single,Name Forms/Use Dates/Structured Date Single,date_expression,Date Expression,n
